private_domain,failure_reason,reach,visits,in_visits_stratum,in_uniform_stratum,is_ddg_tracker,ddg_categories,ddg_owner,ha22_measured,wb_2022_capture,wb_snapshot_ts,wb_html_cached,dns_resolves,probe_status,http_status,final_url,page_title,probe_error,bl_scan_success,bl_final_url,bl_ddg_join_ads,bl_third_party_cookies,bl_canvas_fingerprinting,bl_session_recording,bl_key_logging,bl_fb_pixel,bl_google_analytics,wb_title
decipherinc.com,site_unreachable,301,84099,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
microsoftonline.com,site_unreachable,348,34600,True,False,True,,Microsoft Corporation,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
yougov.com,empty_groups,544,32935,True,False,False,,,True,False,,False,True,live,200.0,https://yougov.com/,YouGov: Data Analytics & Market Research Services,,True,https://yougov.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
sentry.io,empty_groups,175,24969,True,False,True,,"Functional Software, Inc.",True,False,,False,True,live,200.0,https://sentry.io/welcome/,Application Performance Monitoring & Error Tracking Software | Sentry,,True,https://sentry.io/welcome/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
pch.com,empty_groups,68,24231,True,False,False,,,True,False,,False,True,live,200.0,https://www.pch.com/,Publishers Clearing House: Online Sweepstakes & Prizes Since 1967,,True,https://pch.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
fbcdnx14.net,empty_groups,1,16771,True,False,False,,,False,False,,False,True,redirect,200.0,https://www.squidapp.co/,Home - SQUID News App,,True,https://www.squidapp.co/,4.0,2.0,0.0,0.0,0.0,0.0,0.0,
surveyjunkie.com,empty_groups,96,11471,True,False,False,,,True,False,,False,True,live,200.0,https://www.surveyjunkie.com/,,,True,https://www.surveyjunkie.com/,11.0,19.0,1.0,0.0,0.0,0.0,1.0,
eggbuddies.com,empty_groups,1,9152,True,False,False,,,False,False,,False,True,live,200.0,https://eggbuddies.com/,Egg Buddies,,True,https://eggbuddies.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
fandom.com,empty_groups,173,7840,True,False,True,,"Fandom, Inc.",True,False,,False,True,http_error,403.0,https://www.fandom.com/,Just a moment...,,True,https://www.fandom.com/,34.0,21.0,0.0,0.0,0.0,0.0,1.0,
google.com.mx,api_network_error,1,7820,True,False,False,,,False,False,,False,True,redirect,200.0,https://www.google.com/,Google,,True,https://www.google.com/,3.0,7.0,0.0,0.0,0.0,0.0,0.0,
authoritytrcker.com,empty_groups,66,7504,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
impactcdn.com,empty_groups,65,7459,True,False,True,,Impact,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
trysera.com,empty_groups,27,6068,True,False,True,,,False,True,20220705130658.0,True,True,live,200.0,https://trysera.com/,TrySERA: Site Email Retargeting Advantage,,True,https://trysera.com/,4.0,0.0,0.0,0.0,0.0,0.0,0.0,TrySERA: Site Email Retargeting Advantage
gunmemorial.org,empty_groups,1,5200,True,False,False,,,False,False,,False,True,live,200.0,https://gunmemorial.org/,National Gun Violence Memorial,,True,https://gunmemorial.org/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
minutemedia-prebid.com,empty_groups,55,4707,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
nypost.com,empty_groups,120,4380,True,False,False,,,True,False,,False,True,live,200.0,https://nypost.com/,"New York Post – Breaking News, Top Headlines, Photos & Videos",,False,,,,,,,,,
quizzclub.com,api_network_error,3,4275,True,False,False,,,True,False,,False,True,live,200.0,https://quizzclub.com/,"Fun Trivia Questions, Quizzes and Personality Tests | QuizzClub",,True,https://quizzclub.com/,44.0,12.0,0.0,0.0,0.0,1.0,1.0,
aaxads.com,empty_groups,13,4110,True,False,True,,Acceptable Ads Exchange,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
opinionationzone.com,empty_groups,64,3910,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
dynoflow.net,empty_groups,60,3464,True,False,False,,,True,False,,False,True,http_error,404.0,https://dynoflow.net/,,,True,https://dynoflow.net/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
everyonesez.com,empty_groups,22,3248,True,False,False,,,False,False,,False,True,live,200.0,https://everyonesez.com/en,Welcome to EveryoneSez,,True,https://everyonesez.com/en,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
sawtoothsoftware.com,empty_groups,76,3205,True,False,False,,,True,False,,False,True,live,200.0,https://sawtoothsoftware.com/,Market Research Software | Find Survey Software & Market Research Solutions - Sawtooth Software,,True,https://sawtoothsoftware.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
eu-1-id5-sync.com,site_unreachable,150,3014,True,False,True,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://eu-1-id5-sync.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
musio.co,empty_groups,3,2910,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
realtor.com,empty_groups,95,2825,True,False,True,,Move Inc.,True,False,,False,True,http_error,429.0,https://www.realtor.com:443/,,,True,https://www.realtor.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
get663.com,empty_groups,6,2705,True,False,False,,,False,False,,False,True,dead,,,,http: ConnectionError,False,,,,,,,,,
wayfair.com,empty_groups,106,2446,True,False,False,,,True,False,,False,True,http_error,429.0,https://www.wayfair.com/,Access to this page has been denied,,True,https://www.wayfair.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ps-di.com,empty_groups,90,2429,True,False,False,,,False,False,,False,True,live,200.0,https://is.ps-di.com,Paradigm,,True,https://is.ps-di.com/auth/login,0.0,1.0,1.0,0.0,0.0,0.0,0.0,
insights-today.com,site_unreachable,109,2388,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
enginesurveys.com,empty_groups,33,2326,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
protonmail.com,empty_groups,5,2311,True,False,False,,,True,False,,False,True,redirect,200.0,https://proton.me/mail,Proton Mail: Get a free email account with privacy and encryption | Proton,,True,https://proton.me/mail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
chess.com,api_network_error,13,2165,True,False,False,,,True,False,,False,True,live,200.0,https://www.chess.com/,Chess.com - Play Chess Online - Free Games,,True,https://www.chess.com/,0.0,1.0,0.0,0.0,0.0,0.0,0.0,
ttvnw.net,empty_groups,22,2073,True,False,True,,"Amazon Technologies, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
pushnetwork.com,empty_groups,19,1984,True,False,False,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://pushnetwork.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
roku.com,empty_groups,54,1846,True,False,False,,,True,False,,False,True,live,200.0,https://www.roku.com/,Roku,,True,https://www.roku.com/,4.0,1.0,0.0,0.0,0.0,0.0,1.0,
neet.tv,empty_groups,1,1827,True,False,False,,,False,False,,False,True,http_error,404.0,https://neet.tv/,404 Not Found,,True,https://neet.tv/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ibanking-services.com,empty_groups,15,1743,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
cdnwidget.com,site_unreachable,76,1696,True,False,True,Obscure Ownership;Unknown High Risk Behavior,CDNWIDGET.COM,False,False,,False,True,dead,,,,http: ConnectionError,True,https://cdnwidget.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
wmcdp.io,empty_groups,29,1569,True,False,True,,"Warner Bros. Discovery, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
pineconeresearch.com,empty_groups,80,1519,True,False,False,,,True,False,,False,True,dead,,,,http: SSLError,True,https://www.pineconeresearch.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
discoveryplus.com,empty_groups,58,1471,True,False,False,,,True,False,,False,True,live,200.0,https://www.discoveryplus.com/,discovery+ | Stream Real-Life TV Episodes,,True,https://www.discoveryplus.com/,3.0,2.0,0.0,0.0,0.0,0.0,0.0,
instiengage.com,site_unreachable,41,1375,True,False,True,,,False,False,,False,True,dead,,,,http: ReadTimeout,True,https://instiengage.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
gap.com,empty_groups,50,1174,True,False,False,,,True,True,20220615130338.0,True,True,live,200.0,https://www.gap.com/,"Gap Individual style for Women's, Men's, Baby & Kids' Clothing",,False,,,,,,,,,"Shop Gap for Casual Women's, Men's, Maternity, Baby & Kids Clothes"
bathandbodyworks.com,empty_groups,33,1158,True,False,False,,,True,False,,False,True,live,307.0,https://bathandbodyworks.com/,Access to this page has been denied,,True,https://www.bathandbodyworks.com/,11.0,10.0,0.0,0.0,0.0,0.0,0.0,
ibotta.com,empty_groups,53,1143,True,False,False,,,True,False,,False,True,live,200.0,https://ibotta.com/,Ibotta | Performance Marketing Leader,,True,https://ibotta.com/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
b4k.co,empty_groups,1,1111,True,False,False,,,False,False,,False,True,live,200.0,https://b4k.co/,b4k.co,,True,https://b4k.co/,1.0,0.0,0.0,0.0,0.0,0.0,1.0,
prmutv.co,empty_groups,119,979,True,False,True,,"Permutive, Inc.",False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
mygiftcardsplus.com,empty_groups,38,955,True,False,False,,,True,False,,False,True,live,200.0,https://www.mygiftcardsplus.com/,MyGiftCardsPlus: Get cash back on gift cards purchases. Top-rated by customers,,True,https://www.mygiftcardsplus.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
tophatter.com,empty_groups,5,899,True,False,False,,,True,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
samsung.com,empty_groups,103,868,True,False,True,,Samsung Electronics Co. Ltd,True,False,,False,True,live,200.0,https://www.samsung.com/us/,Samsung US | Mobile | TV | Home Electronics | Home Appliances | Samsung US,,True,https://www.samsung.com/us/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
ozone.ai,empty_groups,2,847,True,False,False,,,True,False,,False,True,live,200.0,http://ozone.ai/,Future home of ozone.ai,https: ConnectionError,False,,,,,,,,,
ghostery.net,api_network_error,1,822,True,False,True,,,False,False,,False,True,http_error,403.0,http://ghostery.net/,ERROR: The request could not be satisfied,https: SSLError,False,,,,,,,,,
wgntv.com,empty_groups,6,784,True,False,False,,,True,False,,False,True,http_error,403.0,https://wgntv.com/,Access to this page has been denied,,True,https://wgntv.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
ipinfo.io,empty_groups,22,766,True,False,True,,"IDB, LLC",True,False,,False,True,live,200.0,https://ipinfo.io/,IP Data Intelligence for Developers & Enterprises | IPinfo,,False,,,,,,,,,
toyhou.se,empty_groups,4,748,True,False,False,,,True,False,,False,True,live,200.0,https://toyhou.se/,Toyhouse,,True,https://toyhou.se/,1.0,0.0,0.0,0.0,0.0,0.0,0.0,
theepochtimes.com,empty_groups,22,667,True,False,False,,,True,False,,False,True,live,200.0,https://www.theepochtimes.com/,"The Epoch Times | Breaking News, Latest News, World News and Videos",,True,https://www.theepochtimes.com/,10.0,2.0,0.0,0.0,0.0,0.0,1.0,
hentairead.com,empty_groups,1,539,True,False,False,,,False,False,,False,True,network_filtered,200.0,http://wired.meraki.com/,Cisco Meraki,https: ConnectionError,True,https://hentairead.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
apartments.com,empty_groups,40,530,True,False,False,,,True,False,,False,True,http_error,403.0,https://apartments.com/,Access Denied,,True,https://www.apartments.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
dealer.com,empty_groups,19,486,True,False,True,,Dealer Dot Com Inc,True,False,,False,True,live,200.0,https://www.dealer.com/,Automotive Digital Marketing Solutions | Dealer.com,,True,https://www.dealer.com/,11.0,17.0,0.0,0.0,0.0,0.0,1.0,
connectebt.com,empty_groups,10,457,True,False,False,,,True,False,,False,True,live,200.0,https://www.ConnectEBT.com/,,,True,https://www.connectebt.com/,0.0,0.0,1.0,0.0,0.0,0.0,0.0,
odycdn.com,empty_groups,3,450,True,False,False,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
diply.com,empty_groups,5,444,True,False,False,,,True,False,,False,True,live,200.0,https://diply.com/,Diply – Get Lost Somewhere Good…,,True,https://diply.com/,27.0,21.0,0.0,0.0,0.0,0.0,1.0,
slingoarcade.com,empty_groups,2,439,True,False,False,,,True,False,,False,True,live,200.0,https://www.slingoarcade.com:443/,Slingo Arcade – A fast-moving social casino built on the simple idea that slots + bingo = seriously compelling gameplay.,,False,,,,,,,,,
hometalk.com,empty_groups,27,427,True,False,True,,,True,False,,False,True,live,200.0,https://www.hometalk.com,DIY Projects for the Home | Hometalk,,True,https://www.hometalk.com/,59.0,151.0,0.0,0.0,0.0,0.0,1.0,
academy.com,empty_groups,19,419,True,False,False,,,True,False,,False,True,live,200.0,https://www.academy.com/,"Academy Sports + Outdoors | Quality Sporting Goods | Top Hunting, Fishing & Outdoor Gear",,True,https://www.academy.com/,9.0,2.0,0.0,1.0,0.0,1.0,0.0,
discordapp.com,empty_groups,15,408,True,False,True,,"Discord, Inc.",True,False,,False,True,redirect,200.0,https://discord.com/,Discord - Group Chat That’s All Fun & Games,,True,https://discord.com/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,
key.com,site_unreachable,11,319,True,False,False,,,True,False,,False,True,dead,,,,http: ReadTimeout,False,,,,,,,,,
express.com,empty_groups,11,316,True,False,False,,,True,False,,False,True,http_error,403.0,https://www.express.com/,Access Denied,,True,https://www.express.com/,3.0,2.0,1.0,0.0,0.0,0.0,0.0,
lr-in.com,empty_groups,27,312,True,False,True,,,False,False,,False,False,dead,,,,"dns: [Errno 8] nodename nor servname provided, or not known",False,,,,,,,,,
saksoff5th.com,empty_groups,8,311,True,False,False,,,True,False,,False,True,live,200.0,https://www.saksoff5th.com/,Site Offline,,True,https://www.saksoff5th.com/,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
